#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Aug 26 15:08:52 EDT 2016,44,44,CartesianPointSuite,PointAngleZeroDegreeTest+ PointPrintTest+ PointRadiusTest+ PointTranslationTest+ , ,AngleTestTest- PointAngleFortyFiveDegreeTest- PointAngleMinusNinetyDegreeTest- PointAngleNinetyDegreeTest- PointMainTest- , ,
1,Fri Aug 26 15:28:48 EDT 2016,0,-44,CartesianPointSuite, , ,AngleTestTest PointAngleFortyFiveDegreeTest PointAngleMinusNinetyDegreeTest PointAngleNinetyDegreeTest PointAngleZeroDegreeTest- PointMainTest PointPrintTest- PointRadiusTest- PointTranslationTest- , ,
2,Fri Aug 26 15:29:32 EDT 2016,88,88,CartesianPointSuite,PointAngleFortyFiveDegreeTest+ PointAngleMinusNinetyDegreeTest+ PointAngleNinetyDegreeTest+ PointAngleZeroDegreeTest+ PointMainTest+ PointPrintTest+ PointRadiusTest+ PointTranslationTest+ , ,AngleTestTest , ,
3,Fri Aug 26 15:30:48 EDT 2016,100,12,CartesianPointSuite,AngleTestTest+ PointAngleFortyFiveDegreeTest PointAngleMinusNinetyDegreeTest PointAngleNinetyDegreeTest PointAngleZeroDegreeTest PointMainTest PointPrintTest PointRadiusTest PointTranslationTest , , , ,
4,Fri Aug 26 16:14:26 EDT 2016,44,-56,CartesianPointSuite,PointAngleZeroDegreeTest PointPrintTest PointRadiusTest PointTranslationTest , ,AngleTestTest- PointAngleFortyFiveDegreeTest- PointAngleMinusNinetyDegreeTest- PointAngleNinetyDegreeTest- PointMainTest- , ,
5,Fri Aug 26 16:23:31 EDT 2016,44,0,CartesianPointSuite,PointAngleZeroDegreeTest PointPrintTest PointRadiusTest PointTranslationTest , ,AngleTestTest PointAngleFortyFiveDegreeTest PointAngleMinusNinetyDegreeTest PointAngleNinetyDegreeTest PointMainTest , ,
6,Fri Aug 26 17:15:42 EDT 2016,44,0,CartesianPointSuite,PointAngleZeroDegreeTest PointPrintTest PointRadiusTest PointTranslationTest , ,AngleTestTest PointAngleFortyFiveDegreeTest PointAngleMinusNinetyDegreeTest PointAngleNinetyDegreeTest PointMainTest , ,
